checked_at,pos_id,state_file,user_id,coin,domestic,foreign,entry_krw,domestic_entry_krw,foreign_entry_krw,domestic_qty,domestic_locked,domestic_bid,domestic_value_krw,foreign_amount,foreign_notional_usdt,foreign_value_krw,foreign_side,classification,error
2026-05-30 10:33:11,POS_SAHARA_BITHUMB_BINGX_1780025990_6870367623_1780026002,semi_auto_state_bingx.json,6870367623,SAHARA,BITHUMB,BINGX,7000,7000,7000,823.42150199,0.0,48.64,40051.2219,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:33:18,POS_PROMPT_BITHUMB_BINGX_1780028512_6870367623_1780028521,semi_auto_state_bingx.json,6870367623,PROMPT,BITHUMB,BINGX,7000,7000,7000,151.5480082,0.0,49.22,7459.193,146.37,4.91,7409.19,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:33:22,POS_IN_BITHUMB_BINGX_1780041228_6870367623_1780041242,semi_auto_state_bingx.json,6870367623,IN,BITHUMB,BINGX,7000,7000,7000,500.0,0.0,150.0,75000.0,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:33:25,POS_IN_BITHUMB_BINGX_1780059191_8958522411_1780059199,semi_auto_state_bingx.json,8958522411,IN,BITHUMB,BINGX,9000,9000,9000,2.59615385,0.0,150.0,389.4231,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 10:33:28,POS_SAHARA_BITHUMB_BINGX_1780060953_8958522411_1780060963,semi_auto_state_bingx.json,8958522411,SAHARA,BITHUMB,BINGX,9000,9000,9000,189.35416064,0.0,48.65,9212.0799,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:33:31,POS_SAHARA_BITHUMB_MEXC_1779949622_6870367623_1779949624,semi_auto_state_mexc.json,6870367623,SAHARA,BITHUMB,MEXC,100000,100000,100000,823.42150199,0.0,48.65,40059.4561,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:33:35,POS_NIL_BITHUMB_MEXC_1780084333_6870367623_1780084342,semi_auto_state_mexc.json,6870367623,NIL,BITHUMB,MEXC,39000,39000,39000,9.30254139,0.0,94.91,882.9042,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 10:33:39,POS_IN_BITHUMB_MEXC_1780088115_6870367623_1780088128,semi_auto_state_mexc.json,6870367623,IN,BITHUMB,MEXC,39000,39000,39000,500.0,0.0,150.0,75000.0,24.0,2.58624414,3902.6424,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:33:42,POS_SAHARA_BITHUMB_GATE_1780063712_6870367623_1780063723,semi_auto_state_gate.json,6870367623,SAHARA,BITHUMB,GATE,39000,39000,39000,823.42150199,0.0,48.61,40026.5192,7.0,23.408,35322.672,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:33:47,POS_SAHARA_BITHUMB_BITGET_1780060948_8958522411_1780060964,semi_auto_state_bitget.json,8958522411,SAHARA,BITHUMB,BITGET,9000,9000,9000,189.35416064,0.0,48.51,9185.5703,182.0,6.06788,9156.4309,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:33:49,POS_BILL_BITHUMB_BITGET_1780067855_8958522411_1780067870,semi_auto_state_bitget.json,8958522411,BILL,BITHUMB,BITGET,9000,9000,9000,0.4245283,0.0,102.0,43.3019,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 10:33:51,POS_IN_BITHUMB_BITGET_1780082202_6870367623_1780082208,semi_auto_state_bitget.json,6870367623,IN,BITHUMB,BITGET,39000,39000,39000,500.0,0.0,150.0,75000.0,242.0,25.08814,37858.0033,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:38:53,POS_SAHARA_BITHUMB_BINGX_1780025990_6870367623_1780026002,semi_auto_state_bingx.json,6870367623,SAHARA,BITHUMB,BINGX,7000,7000,7000,823.42150199,0.0,48.4,39853.6007,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:38:57,POS_PROMPT_BITHUMB_BINGX_1780028512_6870367623_1780028521,semi_auto_state_bingx.json,6870367623,PROMPT,BITHUMB,BINGX,7000,7000,7000,151.5480082,0.0,49.21,7457.6775,146.37,4.91,7409.19,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:39:00,POS_IN_BITHUMB_BINGX_1780041228_6870367623_1780041242,semi_auto_state_bingx.json,6870367623,IN,BITHUMB,BINGX,7000,7000,7000,500.0,0.0,150.0,75000.0,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:39:02,POS_IN_BITHUMB_BINGX_1780059191_8958522411_1780059199,semi_auto_state_bingx.json,8958522411,IN,BITHUMB,BINGX,9000,9000,9000,2.59615385,0.0,150.0,389.4231,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 10:39:05,POS_SAHARA_BITHUMB_BINGX_1780060953_8958522411_1780060963,semi_auto_state_bingx.json,8958522411,SAHARA,BITHUMB,BINGX,9000,9000,9000,189.35416064,0.0,48.4,9164.7414,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:39:08,POS_SAHARA_BITHUMB_MEXC_1779949622_6870367623_1779949624,semi_auto_state_mexc.json,6870367623,SAHARA,BITHUMB,MEXC,100000,100000,100000,823.42150199,0.0,48.38,39837.1323,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:39:12,POS_NIL_BITHUMB_MEXC_1780084333_6870367623_1780084342,semi_auto_state_mexc.json,6870367623,NIL,BITHUMB,MEXC,39000,39000,39000,9.30254139,0.0,94.76,881.5088,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 10:39:16,POS_IN_BITHUMB_MEXC_1780088115_6870367623_1780088128,semi_auto_state_mexc.json,6870367623,IN,BITHUMB,MEXC,39000,39000,39000,500.0,0.0,150.0,75000.0,24.0,2.58624414,3902.6424,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:39:20,POS_SAHARA_BITHUMB_GATE_1780063712_6870367623_1780063723,semi_auto_state_gate.json,6870367623,SAHARA,BITHUMB,GATE,39000,39000,39000,823.42150199,0.0,48.38,39837.1323,7.0,23.289,35143.101,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:39:26,POS_SAHARA_BITHUMB_BITGET_1780060948_8958522411_1780060964,semi_auto_state_bitget.json,8958522411,SAHARA,BITHUMB,BITGET,9000,9000,9000,189.35416064,0.0,48.38,9160.9543,182.0,6.04786,9126.2207,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:39:29,POS_BILL_BITHUMB_BITGET_1780067855_8958522411_1780067870,semi_auto_state_bitget.json,8958522411,BILL,BITHUMB,BITGET,9000,9000,9000,0.4245283,0.0,102.0,43.3019,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 10:39:45,POS_SAHARA_BITHUMB_BINGX_1780025990_6870367623_1780026002,semi_auto_state_bingx.json,6870367623,SAHARA,BITHUMB,BINGX,7000,7000,7000,823.42150199,0.0,48.38,39837.1323,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:39:52,POS_PROMPT_BITHUMB_BINGX_1780028512_6870367623_1780028521,semi_auto_state_bingx.json,6870367623,PROMPT,BITHUMB,BINGX,7000,7000,7000,151.5480082,0.0,49.31,7472.8323,146.37,4.92,7424.28,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:39:56,POS_IN_BITHUMB_BINGX_1780041228_6870367623_1780041242,semi_auto_state_bingx.json,6870367623,IN,BITHUMB,BINGX,7000,7000,7000,500.0,0.0,151.0,75500.0,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:39:59,POS_IN_BITHUMB_BINGX_1780059191_8958522411_1780059199,semi_auto_state_bingx.json,8958522411,IN,BITHUMB,BINGX,9000,9000,9000,2.59615385,0.0,151.0,392.0192,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 10:40:03,POS_SAHARA_BITHUMB_BINGX_1780060953_8958522411_1780060963,semi_auto_state_bingx.json,8958522411,SAHARA,BITHUMB,BINGX,9000,9000,9000,189.35416064,0.0,48.41,9166.6349,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:40:06,POS_SAHARA_BITHUMB_MEXC_1779949622_6870367623_1779949624,semi_auto_state_mexc.json,6870367623,SAHARA,BITHUMB,MEXC,100000,100000,100000,823.42150199,0.0,48.41,39861.8349,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 10:40:11,POS_NIL_BITHUMB_MEXC_1780084333_6870367623_1780084342,semi_auto_state_mexc.json,6870367623,NIL,BITHUMB,MEXC,39000,39000,39000,9.30254139,0.0,94.73,881.2297,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 10:40:15,POS_IN_BITHUMB_MEXC_1780088115_6870367623_1780088128,semi_auto_state_mexc.json,6870367623,IN,BITHUMB,MEXC,39000,39000,39000,500.0,0.0,151.0,75500.0,24.0,2.58624414,3902.6424,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:40:19,POS_SAHARA_BITHUMB_GATE_1780063712_6870367623_1780063723,semi_auto_state_gate.json,6870367623,SAHARA,BITHUMB,GATE,39000,39000,39000,823.42150199,0.0,48.41,39861.8349,7.0,23.31,35174.79,short,정상_ACTIVE(국내O/해외O),
2026-05-30 10:40:24,POS_SAHARA_BITHUMB_BITGET_1780060948_8958522411_1780060964,semi_auto_state_bitget.json,8958522411,SAHARA,BITHUMB,BITGET,9000,9000,9000,189.35416064,0.0,48.41,9166.6349,182.0,6.05332,9134.4599,short,정상_ACTIVE(국내O/해외O),
